Filename,BERT Score (gpt),BERT Score (claude),BERT Score (gemini),Avg BERT Score (gpt),Avg BERT Score (claude),Avg BERT Score (gemini)
CKHQ8.json,0.8310126066207886,0.8346942663192749,0.8297803997993469,,,
IRBZ2.json,0.8422577977180481,0.8267414569854736,1.0,,,
CKHQ2.json,0.8070548176765442,,1.0000001192092896,,,
CKHQ5.json,0.8376877903938293,1.0,0.8248137831687927,,,
CKHQ7.json,,0.8326542973518372,0.84716796875,,,
CKHQ.json,0.9178745746612548,0.846479058265686,0.8588305711746216,,,
CKHQ6.json,,0.8326542973518372,0.84716796875,,,
CKHQ4.json,0.8264178037643433,,0.9254480600357056,,,
CKHQ3.json,0.8306728601455688,0.8235593438148499,,,,
HHWI.json,0.8390966057777405,0.8485114574432373,,,,
HHWI2.json,,0.8472675681114197,0.9063724279403688,,,
HHWI3.json,0.7961357235908508,1.0,,,,
IRBZ.json,0.8200054168701172,,0.8047663569450378,,,
Final AVG,,,,0.8348215997219086,0.8692561745643616,0.8844347655773163
